# Copyright (C) 1991-2008 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 8.1 Build 163 10/28/2008 SJ Web Edition
# File: C:\Users\rybaz\OneDrive - Cedarville University\3 Personal Projects\Arduino-CPLD Computer\CPLD Code\Mino_Machine.csv
# Generated on: Thu May 25 11:44:33 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Group,Current Strength,PCB layer
Button_1,Input,PIN_27,1,,3.3V Schmitt Trigger Input,,,,
Button_2,Input,PIN_28,1,,3.3V Schmitt Trigger Input,,,,
CDS_Cell,Input,PIN_51,1,,3.3V Schmitt Trigger Input,,,,
Clk_50MHZ,Input,PIN_64,2,,3.3-V LVCMOS,,,,
Digit_1,Output,PIN_44,1,,3.3-V LVCMOS,,,,
Digit_2,Output,PIN_43,1,,3.3-V LVCMOS,,,,
Digit_3,Output,PIN_41,1,,3.3-V LVCMOS,,,,
Digit_4,Output,PIN_35,1,,3.3-V LVCMOS,,,,
Dip[2],Input,PIN_67,2,,3.3-V LVCMOS,,Dip[2..0],,
Dip[1],Input,PIN_69,2,,3.3-V LVCMOS,,Dip[2..0],,
Dip[0],Input,PIN_71,2,,3.3-V LVCMOS,,Dip[2..0],,
LED_Center,Output,PIN_66,2,,,,,8mA,
LED_Left,Output,PIN_62,2,,,,,8mA,
LED_Right,Output,PIN_68,2,,,,,8mA,
Seg_A,Output,PIN_37,1,,3.3-V LVCMOS,,,,
Seg_B,Output,PIN_47,1,,3.3-V LVCMOS,,,,
Seg_C,Output,PIN_40,1,,3.3-V LVCMOS,,,,
Seg_Colon,Output,PIN_38,1,,,,,,
Seg_D,Output,PIN_36,1,,3.3-V LVCMOS,,,,
Seg_E,Output,PIN_34,1,,3.3-V LVCMOS,,,,
Seg_F,Output,PIN_39,1,,3.3-V LVCMOS,,,,
Seg_G,Output,PIN_42,1,,3.3-V LVCMOS,,,,
START_LED,Output,PIN_99,2,,,,,8mA,
Bus[0],Unknown,PIN_20,1,,3.3-V LVCMOS,,Bus[15..0],,
Bus[15],Unknown,PIN_3,1,,3.3-V LVCMOS,,Bus[15..0],,
Bus[14],Unknown,PIN_2,1,,3.3-V LVCMOS,,Bus[15..0],,
Bus[13],Unknown,PIN_5,1,,3.3-V LVCMOS,,Bus[15..0],,
Bus[12],Unknown,PIN_4,1,,3.3-V LVCMOS,,Bus[15..0],,
Bus[11],Unknown,PIN_7,1,,3.3-V LVCMOS,,Bus[15..0],,
Bus[10],Unknown,PIN_6,1,,3.3-V LVCMOS,,Bus[15..0],,
Bus[9],Unknown,PIN_12,1,,3.3-V LVCMOS,,Bus[15..0],,
Bus[8],Unknown,PIN_8,1,,3.3-V LVCMOS,,Bus[15..0],,
Bus[7],Unknown,PIN_15,1,,3.3-V LVCMOS,,Bus[15..0],,
Bus[6],Unknown,PIN_14,1,,3.3-V LVCMOS,,Bus[15..0],,
Bus[5],Unknown,PIN_17,1,,3.3-V LVCMOS,,Bus[15..0],,
Bus[4],Unknown,PIN_16,1,,3.3-V LVCMOS,,Bus[15..0],,
Bus[3],Unknown,PIN_19,1,,3.3-V LVCMOS,,Bus[15..0],,
Bus[2],Unknown,PIN_18,1,,3.3-V LVCMOS,,Bus[15..0],,
Bus[1],Unknown,PIN_21,1,,3.3-V LVCMOS,,Bus[15..0],,
Bus_Control,Unknown,PIN_1,2,,3.3-V LVCMOS,,,,
,Unknown,PIN_9,,,,,,,
,Unknown,PIN_10,,,,,,,
,Unknown,PIN_11,,,,,,,
,Unknown,PIN_13,,,,,,,
,Unknown,PIN_22,,,,,,,
,Unknown,PIN_23,1,,,,,,
,Unknown,PIN_24,1,,,,,,
,Unknown,PIN_25,,,,,,,
,Unknown,PIN_26,1,,,,,,
,Unknown,PIN_29,,,,,,,
,Unknown,PIN_30,,,,,,,
,Unknown,PIN_31,1,,,,,,
,Unknown,PIN_32,,,,,,,
,Unknown,PIN_33,1,,,,,,
,Unknown,PIN_45,1,,,,,,
,Unknown,PIN_46,,,,,,,
,Unknown,PIN_48,1,,,,,,
,Unknown,PIN_49,1,,,,,,
,Unknown,PIN_50,1,,,,,,
,Unknown,PIN_52,2,,,,,,
,Unknown,PIN_53,2,,,,,,
,Unknown,PIN_54,2,,,,,,
,Unknown,PIN_55,2,,,,,,
,Unknown,PIN_56,,,,,,,
,Unknown,PIN_57,2,,,,,,
,Unknown,PIN_58,2,,,,,,
,Unknown,PIN_59,2,,,,,,
,Unknown,PIN_60,,,,,,,
,Unknown,PIN_61,2,,,,,,
,Unknown,PIN_63,,,,,,,
,Unknown,PIN_65,,,,,,,
,Unknown,PIN_70,2,,,,,,
,Unknown,PIN_72,2,,,,,,
,Unknown,PIN_73,2,,,,,,
,Unknown,PIN_74,2,,,,,,
,Unknown,PIN_75,2,,,,,,
,Unknown,PIN_76,2,,,,,,
