# Copyright (C) 1991-2008 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 8.1 Build 163 10/28/2008 SJ Web Edition
# File: C:\Users\rybaz\OneDrive - Cedarville University\3 Personal Projects\Arduino-CPLD Computer\CPLD Code\Pins.csv
# Generated on: Wed May 24 23:35:36 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Group,Current Strength,PCB layer
Button_1,Input,PIN_27,1,,3.3V Schmitt Trigger Input,,,,
Button_2,Input,PIN_28,1,,3.3V Schmitt Trigger Input,,,,
CDS_Cell,Input,PIN_51,1,,3.3V Schmitt Trigger Input,,,,
Clk_50MHZ,Input,PIN_64,2,,3.3-V LVCMOS,,,,
data0,Input,PIN_16,1,,3.3-V LVCMOS,,,,
data1,Input,PIN_17,1,,3.3-V LVCMOS,,,,
data2,Input,PIN_18,1,,3.3-V LVCMOS,,,,
data3,Input,PIN_19,1,,3.3-V LVCMOS,,,,
Digit_1,Output,PIN_44,1,,3.3-V LVCMOS,,,,
Digit_2,Output,PIN_43,1,,3.3-V LVCMOS,,,,
Digit_3,Output,PIN_41,1,,3.3-V LVCMOS,,,,
Digit_4,Output,PIN_35,1,,3.3-V LVCMOS,,,,
Dip[2],Input,PIN_67,2,,3.3-V LVCMOS,,Dip[2..0],,
Dip[1],Input,PIN_69,2,,3.3-V LVCMOS,,Dip[2..0],,
Dip[0],Input,PIN_71,2,,3.3-V LVCMOS,,Dip[2..0],,
LED_Center,Output,PIN_66,2,,,,,8mA,
LED_Left,Output,PIN_62,2,,,,,8mA,
LED_Right,Output,PIN_68,2,,,,,8mA,
Seg_A,Output,PIN_37,1,,3.3-V LVCMOS,,,,
Seg_B,Output,PIN_47,1,,3.3-V LVCMOS,,,,
Seg_C,Output,PIN_40,1,,3.3-V LVCMOS,,,,
Seg_Colon,Output,PIN_38,1,,,,,,
Seg_D,Output,PIN_36,1,,3.3-V LVCMOS,,,,
Seg_E,Output,PIN_34,1,,3.3-V LVCMOS,,,,
Seg_F,Output,PIN_39,1,,3.3-V LVCMOS,,,,
Seg_G,Output,PIN_42,1,,3.3-V LVCMOS,,,,
Front_IR_Sensor,Unknown,PIN_48,1,,,,,,
Left_IR_Sensor,Unknown,PIN_49,1,,,,,,
Right_IR_Sensor,Unknown,PIN_50,1,,,,,,
Speaker_A,Unknown,PIN_98,2,,3.3-V LVCMOS,,,,
Speaker_B,Unknown,PIN_4,1,,3.3-V LVCMOS,,,,
MotorA1,Unknown,PIN_92,2,,3.3-V LVCMOS,,,,
MotorA2,Unknown,PIN_90,2,,3.3-V LVCMOS,,,,
MotorB1,Unknown,PIN_86,2,,3.3-V LVCMOS,,,,
MotorB2,Unknown,PIN_88,2,,3.3-V LVCMOS,,,,
Right_Wheel_A,Unknown,PIN_20,1,,,,,,
Right_Wheel_B,Unknown,PIN_21,1,,,,,,
Left_Wheel_A,Unknown,PIN_74,2,,,,,,
Left_Wheel_B,Unknown,PIN_75,2,,,,,,
Button_3,Unknown,PIN_99,2,,3.3V Schmitt Trigger Input,,,,
Button_4,Unknown,PIN_5,1,,3.3V Schmitt Trigger Input,,,,
,Unknown,PIN_2,1,,,,,,
,Unknown,PIN_3,1,,,,,,
,Unknown,PIN_6,1,,,,,,
,Unknown,PIN_7,1,,,,,,
,Unknown,PIN_8,1,,,,,,
,Unknown,PIN_9,1,,,,,,
,Unknown,PIN_10,,,,,,,
,Unknown,PIN_11,,,,,,,
,Unknown,PIN_12,1,,,,,,
,Unknown,PIN_13,,,,,,,
,Unknown,PIN_14,1,,,,,,
,Unknown,PIN_15,1,,,,,,
,Unknown,PIN_22,1,,,,,,
,Unknown,PIN_23,1,,,,,,
,Unknown,PIN_24,1,,,,,,
,Unknown,PIN_25,1,,,,,,
,Unknown,PIN_26,1,,,,,,
,Unknown,PIN_29,1,,,,,,
,Unknown,PIN_30,1,,,,,,
,Unknown,PIN_31,1,,,,,,
,Unknown,PIN_32,,,,,,,
,Unknown,PIN_33,1,,,,,,
,Unknown,PIN_45,1,,,,,,
,Unknown,PIN_46,,,,,,,
,Unknown,PIN_52,2,,,,,,
,Unknown,PIN_53,2,,,,,,
,Unknown,PIN_54,2,,,,,,
,Unknown,PIN_55,2,,,,,,
,Unknown,PIN_56,2,,,,,,
,Unknown,PIN_57,2,,,,,,
,Unknown,PIN_58,2,,,,,,
,Unknown,PIN_59,2,,,,,,
,Unknown,PIN_60,,,,,,,
,Unknown,PIN_61,2,,,,,,
,Unknown,PIN_63,,,,,,,
,Unknown,PIN_65,,,,,,,
,Unknown,PIN_70,2,,,,,,
,Unknown,PIN_72,2,,,,,,
,Unknown,PIN_73,2,,,,,,
,Unknown,PIN_76,2,,,,,,
,Unknown,PIN_77,2,,,,,,
,Unknown,PIN_78,2,,,,,,
,Unknown,PIN_79,,,,,,,
